restaurant,address,zip_code,geo_coordinates_search,lon,lat,neighborhood,match_type,distance_m
Bonchon Chicken,172 Newark Ave,7302,"40.72129533,-74.04530716",-74.04530716,40.72129533,Harsimus Cove,within,0.0
Freetown Road Project,640 Newark Ave,7306,"40.73390967,-74.05840501",-74.05840501,40.73390967,Journal Square,within,0.0
Hamilton Pork,247 10th St,7302,"40.72888842,-74.04380256",-74.04380256,40.72888842,Hamilton Park,within,0.0
Koro Koro,538 Jersey Ave,7302,"40.7214385,-74.04615367",-74.04615367,40.7214385,Van Vorst Park,within,0.0
Pico Taco,70 Hudson St,7030,"40.71561303,-74.03409882",-74.03409882,40.71561303,Exchange Place,within,0.0
Carmine's Pizza Factory,366 8th St,7306,"40.72741748,-74.05019945",-74.05019945,40.72741748,Hamilton Park,within,0.0
Domino's,741 Communipaw Ave,7304,"40.7197249,-74.07880863",-74.07880863,40.7197249,West Side,within,0.0
Five Guys,23 University Place Blvd,7305,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
Karen Bakery,942 West Side Ave,7306,"40.73188709,-74.0727776",-74.0727776,40.73188709,Marion,within,0.0
L' Atelier Du Chocolat,321 Marin Blvd,7302,"40.71987804,-74.04133072",-74.04133072,40.71987804,Harsimus Cove,within,0.0
Marshaâ€™s Taste of Caribbean,800 Communipaw Ave,7304,"40.72094617,-74.08130063",-74.08130063,40.72094617,West Side,within,0.0
O'Leary's Publik House,788 Garfield Ave,7305,"40.70643085,-74.07328683",-74.07328683,40.70643085,Canal Crossing,within,0.0
Tea NJ,262 Newark Ave,7302,"40.72307766,-74.04888413",-74.04888413,40.72307766,Harsimus Cove,within,0.0
Casa Cubana,1007 Summit Ave,7304,"40.74887406,-74.05053176",-74.05053176,40.74887406,Hudson City,within,0.0
Chennai Flavors and Pizza King,523 Newark Ave,7306,"40.730334,-74.055834",-74.055834,40.730334,St.Joes,within,0.0
Krispy Pizza,33 Hudson St,7302,"40.71286262,-74.03482952",-74.03482952,40.71286262,Palus Hook,within,0.0
Sagoto Bubble Tea,654 Newark Ave,7306,"40.73440091,-74.05879172",-74.05879172,40.73440091,Journal Square,within,0.0
The Franklin,159 New York Ave,7307,"40.74162936,-74.04696329",-74.04696329,40.74162936,Hudson City,within,0.0
9 Bar CafÃ© at Urby,200 Greene St,7306,"40.72088153,-74.03534108",-74.03534108,40.72088153,Harborside,within,0.0
Dream Spicy II,60 Sip Ave,7306,"40.730641,-74.062023",-74.062023,40.730641,Journal Square,within,0.0
Luna Restaurant,279 Grove St,7070,"40.7178279,-74.04404644",-74.04404644,40.7178279,Van Vorst Park,within,0.0
Romano's Pizzeria,508 West Side Ave,7304,"40.71823229,-74.08365912",-74.08365912,40.71823229,West Side,within,0.0
Cafe Dolma,270 Grand St,7304,"40.71627281,-74.045636",-74.045636,40.71627281,Van Vorst Park,within,0.0
Cafe Esme,485 Marin Blvd,7302,"40.71159509,-74.06479057",-74.06479057,40.71159509,Lafayette,within,0.0
CafÃ© Madelaine,34 Coles St,7302,"40.72273534,-74.04748367",-74.04748367,40.72273534,Harsimus Cove,within,0.0
Domino's,3682 John F Kennedy Blvd,7307,"40.75595414,-74.04671858",-74.04671858,40.75595414,Hudson City,within,0.0
Downtown Yogurt,126 Newark Ave,7302,"40.720052,-74.04287794",-74.04287794,40.720052,Harsimus Cove,within,0.0
Low Fidelity,328 Palisade Ave,7307,"40.73995154,-74.04678146",-74.04678146,40.73995154,Washington Village,within,0.0
McDonald's,260 Central Ave,7032,"40.74365946,-74.05085375",-74.05085375,40.74365946,Hudson City,within,0.0
St. Markâ€™s Pizzeria & Deli,420 West Side Ave,7304,"40.7156417,-74.08665184",-74.08665184,40.7156417,West Side,within,0.0
The Hamilton Inn,708 Jersey Ave,7302,"40.72899753,-74.04482168",-74.04482168,40.72899753,Hamilton Park,within,0.0
Wisp Express,101 Hudson St,7302,"40.71565936,-74.03427343",-74.03427343,40.71565936,Exchange Place,within,0.0
Papa Johns,125 18th St,7310,"40.73440945,-74.0393405",-74.0393405,40.73440945,Hoboken Yards,within,0.0
O'hara's Downtown,172 First St,7302,"40.72154563,-74.04021473",-74.04021473,40.72154563,Powerhouse,within,0.0
Pasta Dal Cuore,527 Jersey Ave,7302,"40.72088046,-74.04667364",-74.04667364,40.72088046,Van Vorst Park,within,0.0
Chicken Delight,731 Montgomery St,7305,"40.72510029,-74.0678923",-74.0678923,40.72510029,Bergen Hill,within,0.0
King Szechuan Palace,83 Reservoir Ave,7307,"40.739761,-74.051633",-74.051633,40.739761,Waverly,within,0.0
